"number","title","sections","description","startDate","endDate","startStardate","endStardate","historiansNote","publicationDate","predecessorId"
"6x01","Equinox, Part II",,,2376,,,,,"1999-09-22",
"6x02","Survival Instinct",,,2376,,"53049.2",,,"1999-09-29",
"6x03","Barge of the Dead",,,2376,,,,,"1999-10-06",
"6x04","Tinker Tenor Doctor Spy",,,2376,,,,,"1999-10-13",
"6x05","Alice",,,2376,,,,,"1999-10-20",
"6x06","Riddles",,,2376,,"53263.2",,,"1999-11-03",
"6x07","Dragon's Teeth",,,2376,,"53167.9",,,"1999-11-10",
"6x08","One Small Step",,,2376,,"53292.7",,,"1999-11-17",
"6x09","The Voyager Conspiracy",,,2376,,"53329",,,"1999-11-24",
"6x10","Pathfinder",,,2376,,,,,"1999-12-01",
"6x11","Fair Haven",,,2376,,,,,"2000-01-12",
"6x12","Blink of an Eye",,,2376,,,,,"2000-01-19",
"6x13","Virtuoso",,,2376,,"53556.4",,,"2000-01-26",
"6x14","Memorial",,,2376,,,,,"2000-02-02",
"6x15","Tsunkatse",,,2376,,"53447.2",,,"2000-02-09",
"6x16","Collective",,,2376,,,,,"2000-02-16",
"6x17","Spirit Folk",,,2376,,,,,"2000-02-23",
"6x18","Ashes to Ashes",,,2376,,"53679.4",,,"2000-03-01",
"6x19","Child's Play",,,2376,,,,,"2000-03-08",
"6x20","Good Shepherd",,,2376,,"53753.2",,,"2000-03-15",
"6x21","Live Fast and Prosper",,,2376,,"53849.2",,,"2000-04-19",
"6x22","Muse",,,2376,,"53918.0",,,"2000-04-26",
"6x23","Fury",,,2376,,,,,"2000-05-03",
"6x24","Life Line",,,2376,,,,,"2000-05-10",
"6x25","The Haunting of Deck Twelve",,,2376,,,,,"2000-05-17",
"6x26","Unimatrix Zero",,,2376,,,,,"2000-05-24",
