number,title,sections,description,startDate,endDate,startStardate,endStardate,historiansNote,publicationDate,predecessorId
1x01,Second Contact,,,,,,,,,
1x02,Envoys,,,,,,,,,
1x03,Temporal Edict,,,,,,,,,
1x04,Moist Vessel,,,,,,,,,
1x05,Cupid's Errant Arrow,,,,,,,,,
1x06,Terminal Provocations,,,,,,,,,
1x07,Much Ado About Boimler,,,,,,,,,
1x08,Veritas,,,,,,,,,
1x09,Crisis Point,,,,,,,,,
1x10,No Small Parts,,,,,,,,,
