number,title,sections,description,startDate,endDate,startStardate,endStardate,historiansNote,publicationDate,predecessorId
1x01,Remembrance,,,,,,,,,
1x02,Maps and Legends,,,,,,,,,
1x03,The End is the Beginning,,,,,,,,,
1x04,Absolute Candor,,,,,,,,,
1x05,Stardust City Rag,,,,,,,,,
1x06,The Impossible Box,,,,,,,,,
1x07,Nepenthe,,,,,,,,,
1x08,Broken Pieces,,,,,,,,,
1x09,"Et in Arcadia Ego, Part 1",,,,,,,,,
1x10,"Et in Arcadia Ego, Part 2",,,,,,,,,
