"number","title","sections","description","startDate","endDate","startStardate","endStardate","historiansNote","publicationDate","predecessorId"
"3x01","The Search, Part I",,,2371,,"48213.1",,,"1994-09-26",
"3x02","The Search, Part II",,,2371,,"48217.7",,,"1994-10-03",
"3x03","The House of Quark",,,2371,,"48224.2",,,"1994-10-10",
"3x04","Equilibrium",,,2371,,,,,"1994-10-17",
"3x05","Second Skin",,,2371,,"48244.5",,,"1994-10-24",
"3x06","The Abandoned",,,2371,,"48301.1",,,"1994-10-31",
"3x07","Civil Defense",,,2371,,"48388.8",,,"1994-11-07",
"3x08","Meridian",,,2371,,"48423.2",,,"1994-11-14",
"3x09","Defiant",,,2371,,"48467.3",,,"1994-11-21",
"3x10","Fascination",,,2371,,,,,"1994-11-28",
"3x11","Past Tense, Part I",,,2371,,"48481.2",,,"1995-01-08",
"3x12","Past Tense, Part II",,,2371,,"48481.2",,,"1995-01-15",
"3x13","Life Support",,,2371,,"48498.4",,,"1995-01-31",
"3x14","Heart of Stone",,,2371,,"48521.5",,,"1995-02-06",
"3x15","Destiny",,,2371,,"48543.2",,,"1995-02-13",
"3x16","Prophet Motive",,,2371,,,,,"1995-02-20",
"3x17","Visionary",,,2371,,"48576.7",,,"1995-02-27",
"3x18","Distant Voices",,,2371,,"48592.2",,,"1995-04-10",
"3x19","Through the Looking Glass",,,2371,,,,,"1995-04-17",
"3x20","Improbable Cause",,,2371,,,,,"1995-04-24",
"3x21","The Die is Cast",,,2371,,,,,"1995-05-01",
"3x22","Explorers",,,2371,,,,,"1995-05-08",
"3x23","Family Business",,,2371,,,,,"1995-05-15",
"3x24","Shakaar",,,2371,,,,,"1995-05-22",
"3x25","Facets",,,2371,,"48876.3",,,"1995-06-12",
"3x26","The Adversary",,,2371,,"48959.1",,,"1995-06-25",
