"number","title","sections","description","startDate","endDate","startStardate","endStardate","historiansNote","publicationDate","predecessorId"
"3x01","Evolution",,,2366,,"43125.8",,,"1989-09-25",
"3x02","The Ensigns of Command",,,2366,,"43133.3",,,"1989-10-02",
"3x03","The Survivors",,,2366,,"43152.4",,,"1989-10-09",
"3x04","Who Watches The Watchers",,,2366,,"43173.5",,,"1989-10-16",
"3x05","The Bonding",,,2366,,"43198.7",,,"1989-10-23",
"3x06","Booby Trap",,,2366,,"43205.6",,,"1989-10-30",
"3x07","The Enemy",,,2366,,"43349.2",,,"1989-11-06",
"3x08","The Price",,,2366,,"43385.6",,,"1989-11-13",
"3x09","The Vengeance Factor",,,2366,,"43421.9",,,"1989-11-20",
"3x10","The Defector",,,2366,,"43462.5",,,"1990-01-01",
"3x11","The Hunted",,,2366,,"43489.2",,,"1990-01-08",
"3x12","The High Ground",,,2366,,"43510.7",,,"1990-01-29",
"3x13","Deja Q",,,2366,,"43539.1",,,"1990-02-05",
"3x14","A Matter of Perspective",,,2366,,"43610.4",,,"1990-02-12",
"3x15","Yesterday's Enterprise",,,2366,,"43625.2",,,"1990-02-19",
"3x16","The Offspring",,,2366,,"43657.0",,,"1990-03-12",
"3x17","Sins of the Father",,,2366,,"43685.2",,,"1990-03-19",
"3x18","Allegiance",,,2366,,"43714.1",,,"1990-03-26",
"3x19","Captain's Holiday",,,2366,,"43745.2",,,"1990-04-02",
"3x20","Tin Man",,,2366,,"43779.3",,,"1990-04-23",
"3x21","Hollow Pursuits",,,2366,,"43807.4",,,"1990-04-30",
"3x22","The Most Toys",,,2366,,"43872.2",,,"1990-05-07",
"3x23","Sarek",,,2366,,"43917.4",,,"1990-05-14",
"3x24","Ménage à Troi",,,2366,,"43930.7",,,"1990-05-28",
"3x25","Transfigurations",,,2366,,"43957.2",,,"1990-06-04",
"3x26","The Best of Both Worlds",,,2366,,"43989.1",,,"1990-06-18",
