"number","title","sections","description","startDate","endDate","startStardate","endStardate","historiansNote","publicationDate","predecessorId"
"7x01","Descent, Part II",,,2370,,"47025.4",,,"1993-09-18",
"7x02","Liaisons",,,2370,,,,,"1993-09-25",
"7x03","Interface",,,2370,,"47215.5",,,"1993-10-04",
"7x04","Gambit, Part I",,,2370,,"47135.2",,,"1993-10-09",
"7x05","Gambit, Part II",,,2370,,"47160.1",,,"1993-10-16",
"7x06","Phantasms",,,2370,,"47225.7",,,"1993-10-23",
"7x07","Dark Page",,,2370,,"47254.1",,,"1993-10-30",
"7x08","Attached",,,2370,,"47304.2",,,"1993-11-06",
"7x09","Force of Nature",,,2370,,"47310.2",,,"1993-11-15",
"7x10","Inheritance",,,2370,,"47410.2",,,"1993-11-22",
"7x11","Parallels",,,2370,,"47391.2",,,"1993-11-27",
"7x12","The Pegasus",,,2370,,"47457.1",,,"1994-01-10",
"7x13","Homeward",,,2370,,"47423.9",,,"1994-01-15",
"7x14","Sub Rosa",,,2370,,,,,"1994-01-31",
"7x15","Lower Decks",,,2370,,"47566.7",,,"1994-02-07",
"7x16","Thine Own Self",,,2370,,"47611.2",,,"1994-02-14",
"7x17","Masks",,,2370,,"47615.2",,,"1994-02-19",
"7x18","Eye of the Beholder",,,2370,,"47622.1",,,"1994-02-26",
"7x19","Genesis",,,2370,,"47653.2",,,"1994-03-19",
"7x20","Journey's End",,,2370,,"47751.2",,,"1994-03-26",
"7x21","Firstborn",,,2370,,"47779.4",,,"1994-04-23",
"7x22","Bloodlines",,,2370,,"47829.1",,,"1994-04-30",
"7x23","Emergence",,,2370,,"47869.2",,,"1994-05-07",
"7x24","Preemptive Strike",,,2370,,"47941.7",,,"1994-05-14",
"7x25/26","All Good Things...",,,2370,,"47988.0",,,"1994-05-23",
